channel,item,return_ratio,return_rank,currency_rank
catalog,6039,0.5851063829787234,1,1
catalog,12485,0.6388888888888888,2,2
catalog,9699,0.6438356164383562,3,3
catalog,121,0.6538461538461539,4,4
catalog,8009,0.65625,5,29
catalog,16349,0.6632653061224489,6,5
catalog,13559,0.6986301369863014,7,6
catalog,3001,0.7,8,7
catalog,3031,0.7070707070707071,9,8
catalog,16781,0.7176470588235294,10,30
catalog,2473,0.7191011235955056,11,9
catalog,9871,0.7195121951219512,12,10
store,5721,0.81,1,1
store,14487,0.8369565217391305,2,2
store,31,0.8607594936708861,3,3
store,5283,0.8829787234042553,4,4
store,9191,0.9111111111111111,5,5
store,4487,0.9180327868852459,6,6
store,5737,0.946236559139785,7,7
store,2963,0.9494949494949495,8,8
store,3755,0.95,9,9
store,14383,0.96,10,10
web,15179,0.6,1,1
web,103,0.6129032258064516,2,2
web,17409,0.6538461538461539,3,3
web,7499,0.75,4,16
web,11209,0.7528089887640449,5,15
web,11003,0.7948717948717948,6,4
web,15991,0.8085106382978723,7,5
web,14091,0.8202247191011236,8,6
web,17151,0.835820895522388,9,7
web,2863,0.8552631578947368,10,8
web,9589,0.8888888888888888,11,9
web,15043,0.8888888888888888,11,9
